Soil_Type,Farm_Area_acres,Water_Availability_L_per_week,Irrigation_Type,Fertilizer_Used_kg,Season,Rainfall_mm,Temperature_C,Soil_pH,Crop,Crop_Yield_ton_per_acre
Silty,1.73,909,Drip,133.28,Rabi,1285.28,18.04,5.62,Wheat,3.951
Peaty,17.7,2416,Drip,81.74,Rabi,327.06,34.67,6.38,Potato,5.147
Clay,6.98,3938,Sprinkler,97.17,Summer,1388.24,36.95,8.74,Wheat,3.014
Peaty,3.45,4567,Flood,120.46,Summer,1292.72,32.24,8.43,Maize,3.96
Peaty,9.9,3359,Rainfed,171.07,Summer,1160.21,19.57,6.78,Maize,4.532
Sandy,12.37,2483,Flood,157.32,Summer,541.34,24.0,7.84,Tomato,6.757
Clay,1.59,2551,Drip,41.36,Summer,1129.45,26.47,5.61,Potato,6.012
Clay,6.22,4201,Sprinkler,64.2,Kharif,770.4,15.09,8.01,Rice,3.774
Clay,1.62,522,Flood,24.8,Rabi,1023.89,25.83,6.9,Tomato,6.085
Peaty,8.99,3468,Drip,21.43,Summer,606.32,15.64,7.89,Tomato,5.697
Silty,18.01,1244,Drip,60.39,Summer,1286.62,27.48,7.58,Wheat,3.588
Clay,19.67,1101,Rainfed,163.88,Zaid,252.75,11.78,5.93,Tomato,6.008
Peaty,13.1,3535,Flood,182.85,Rabi,1098.9,43.2,8.34,Tomato,7.203
Sandy,4.07,2342,Rainfed,90.52,Rabi,1277.22,18.62,7.29,Tomato,6.903
Silty,18.21,3174,Flood,121.38,Kharif,1040.36,26.35,8.14,Wheat,3.518
Sandy,10.81,4676,Sprinkler,147.09,Rabi,449.59,11.15,5.38,Maize,3.582
Silty,3.92,3162,Flood,191.53,Summer,570.48,16.75,7.46,Tomato,6.438
Peaty,18.51,982,Rainfed,184.33,Zaid,869.38,34.26,6.17,Maize,4.001
Loamy,15.39,4536,Rainfed,30.29,Rabi,628.28,13.91,8.44,Maize,2.687
Silty,14.9,3139,Drip,64.67,Zaid,206.39,31.99,8.8,Wheat,2.611
Sandy,14.47,3811,Flood,28.85,Summer,252.88,10.07,5.22,Maize,2.418
Peaty,4.81,4628,Flood,130.98,Zaid,1198.1,26.28,7.9,Wheat,4.167
Silty,5.01,4875,Sprinkler,147.89,Rabi,308.82,35.25,5.41,Tomato,5.693
Loamy,14.08,4325,Drip,75.49,Rabi,1406.43,42.42,8.43,Rice,4.221
Loamy,5.17,2699,Rainfed,173.69,Kharif,775.56,27.25,5.5,Wheat,2.867
Clay,9.33,2182,Flood,101.51,Summer,1185.64,39.42,5.78,Rice,3.72
Clay,15.86,4108,Drip,199.71,Kharif,363.16,38.09,6.01,Tomato,5.696
Sandy,15.9,1518,Sprinkler,20.07,Kharif,1404.46,20.35,7.91,Rice,4.013
Silty,9.61,3470,Drip,39.71,Summer,243.95,40.62,6.17,Potato,4.919
Silty,16.05,1811,Flood,74.32,Rabi,254.78,32.41,7.38,Potato,4.975
Clay,16.93,1918,Flood,24.59,Zaid,270.96,13.65,7.29,Tomato,5.574
Silty,13.44,3000,Sprinkler,160.82,Kharif,334.43,42.87,6.61,Maize,2.749
Silty,5.34,3167,Sprinkler,29.5,Rabi,832.88,16.18,7.16,Maize,2.584
Loamy,6.21,1886,Sprinkler,154.82,Rabi,1224.76,26.46,5.47,Wheat,4.187
Clay,6.98,1644,Rainfed,29.46,Kharif,570.43,26.32,8.5,Potato,5.542
Peaty,3.22,2563,Drip,65.49,Kharif,1169.51,31.88,5.83,Wheat,3.391
Clay,6.19,2046,Drip,171.43,Kharif,1206.28,33.27,8.52,Tomato,7.445
Peaty,4.98,2645,Drip,191.2,Rabi,1380.76,18.15,7.07,Rice,4.852
Loamy,9.65,2663,Rainfed,94.61,Summer,394.16,22.34,7.46,Potato,5.433
Sandy,18.26,3512,Drip,194.59,Summer,376.19,15.06,6.03,Maize,3.221
Silty,2.99,4944,Sprinkler,132.84,Kharif,358.72,14.41,5.89,Wheat,2.42
Loamy,14.69,4827,Drip,94.85,Zaid,667.1,38.88,6.96,Rice,3.284
Silty,14.06,3682,Rainfed,164.5,Rabi,836.24,36.28,6.07,Maize,4.107
Sandy,2.82,3923,Rainfed,73.16,Zaid,800.09,25.49,6.69,Maize,3.413
Sandy,18.53,4501,Drip,67.84,Kharif,534.16,13.36,6.76,Tomato,5.523
Loamy,11.8,4059,Rainfed,138.18,Rabi,1008.57,25.75,6.08,Maize,3.613
Sandy,7.91,2056,Rainfed,90.29,Summer,639.76,20.31,6.17,Maize,3.359
Peaty,15.37,3186,Drip,44.47,Summer,675.91,37.23,8.89,Maize,2.516
Sandy,5.89,2832,Rainfed,32.05,Zaid,337.19,13.38,7.35,Rice,2.872
Silty,14.18,2156,Rainfed,161.81,Kharif,969.9,25.8,8.33,Rice,4.125
Silty,1.75,1044,Drip,141.66,Zaid,1051.86,30.7,5.18,Maize,3.768
Silty,16.95,891,Sprinkler,94.12,Kharif,1185.34,44.5,5.01,Tomato,6.459
Silty,9.52,2488,Sprinkler,181.32,Summer,1375.21,13.14,7.08,Maize,3.96
Peaty,13.1,4585,Rainfed,93.95,Rabi,1195.81,13.99,8.31,Potato,5.947
Clay,5.2,796,Flood,147.85,Summer,506.47,44.58,7.44,Potato,4.896
Loamy,13.86,1586,Flood,183.64,Zaid,506.35,24.2,7.48,Wheat,3.375
Silty,15.67,4865,Drip,171.33,Rabi,1389.61,36.03,5.56,Potato,6.675
Sandy,9.99,3761,Drip,112.0,Kharif,1227.17,37.42,8.91,Wheat,3.776
Silty,12.74,1616,Sprinkler,142.51,Summer,1216.92,21.01,7.12,Wheat,4.19
Sandy,9.67,1576,Flood,94.46,Kharif,1135.63,17.5,5.41,Wheat,3.656
Sandy,17.99,995,Drip,136.5,Summer,547.36,19.66,6.66,Wheat,3.001
Silty,10.46,3495,Flood,66.36,Kharif,1301.63,36.75,5.29,Maize,3.055
Peaty,16.99,593,Flood,98.25,Summer,385.75,39.42,6.67,Rice,3.386
Sandy,16.23,4824,Rainfed,57.72,Summer,655.02,34.48,7.85,Potato,5.097
Sandy,8.8,1220,Rainfed,26.87,Kharif,650.42,25.44,6.29,Potato,4.842
Silty,5.37,4862,Flood,125.94,Summer,928.17,19.19,6.25,Potato,6.503
Sandy,8.72,4876,Sprinkler,175.6,Summer,802.48,24.88,7.06,Wheat,3.66
Sandy,16.7,4526,Drip,24.6,Summer,797.75,42.01,6.99,Tomato,5.727
Silty,5.33,4555,Drip,55.29,Zaid,919.64,40.21,6.87,Rice,3.46
Silty,10.96,1606,Sprinkler,102.83,Summer,740.04,21.32,7.07,Tomato,6.176
Loamy,16.32,4432,Rainfed,139.86,Kharif,524.98,21.48,5.19,Tomato,6.038
Peaty,7.72,4222,Rainfed,50.82,Kharif,1063.36,37.3,6.9,Potato,5.396
Peaty,13.2,1871,Sprinkler,30.21,Zaid,1227.82,24.93,8.97,Tomato,7.045
Sandy,5.67,922,Sprinkler,113.43,Summer,822.69,30.05,8.06,Maize,3.052
Peaty,3.08,2505,Rainfed,167.37,Zaid,1044.33,24.78,6.15,Tomato,6.747
Sandy,16.09,4911,Flood,26.34,Zaid,895.97,18.48,7.71,Tomato,5.63
Loamy,2.88,1263,Rainfed,82.89,Summer,276.7,16.61,6.32,Potato,5.179
Silty,6.16,3868,Flood,139.43,Kharif,750.01,14.88,5.77,Tomato,6.121
Silty,17.25,1397,Drip,43.53,Summer,212.81,10.4,8.09,Wheat,1.989
Silty,7.58,1452,Drip,62.47,Zaid,1060.44,19.82,5.84,Rice,3.962
Peaty,19.49,3422,Flood,116.39,Rabi,860.61,16.0,8.43,Maize,4.043
Loamy,19.61,4979,Flood,191.58,Zaid,364.88,19.03,6.52,Rice,3.454
Peaty,6.1,3697,Rainfed,71.72,Kharif,904.85,12.65,8.03,Wheat,2.551
Peaty,1.78,4698,Sprinkler,107.75,Summer,1367.95,21.95,6.04,Tomato,6.864
Loamy,14.4,1399,Flood,91.99,Rabi,642.64,28.2,7.61,Potato,5.79
Loamy,9.57,4523,Drip,181.53,Zaid,1477.08,43.06,5.85,Rice,4.459
Loamy,2.91,4705,Rainfed,32.94,Zaid,1447.19,22.15,5.09,Tomato,6.745
Loamy,14.44,4141,Drip,121.91,Zaid,1220.9,11.09,8.26,Rice,3.888
Silty,1.59,4043,Rainfed,172.3,Summer,1257.94,22.68,8.42,Tomato,7.791
Clay,17.53,4141,Sprinkler,197.86,Summer,733.71,38.6,8.52,Potato,6.135
Clay,3.63,3590,Sprinkler,145.77,Zaid,723.3,21.91,5.15,Wheat,3.245
Loamy,3.42,4979,Drip,88.39,Summer,1440.72,20.21,8.04,Rice,4.061
Clay,4.34,1261,Flood,94.13,Rabi,676.06,42.16,8.34,Maize,3.085
Clay,19.25,2907,Flood,83.3,Rabi,325.93,20.4,6.25,Wheat,2.853
Loamy,14.17,1385,Drip,128.65,Kharif,398.51,43.96,6.88,Potato,4.77
Clay,16.23,3143,Flood,153.09,Summer,1123.52,39.14,6.63,Maize,3.81
Peaty,8.56,3743,Flood,167.5,Summer,697.88,33.95,6.76,Tomato,6.579
Sandy,7.39,1735,Drip,94.99,Zaid,459.15,30.94,8.39,Rice,3.415
Sandy,5.46,3433,Drip,149.01,Rabi,1257.92,17.87,6.67,Maize,4.248
Loamy,10.13,1968,Sprinkler,184.92,Summer,835.28,35.56,6.21,Wheat,3.996
Silty,11.48,509,Drip,185.75,Summer,937.93,22.15,5.52,Maize,3.077
Loamy,13.0,1291,Sprinkler,146.73,Summer,400.13,27.0,7.7,Potato,5.659
Silty,5.89,2162,Sprinkler,134.64,Zaid,450.58,13.64,5.34,Maize,2.391
Sandy,19.02,1243,Rainfed,115.67,Rabi,363.61,20.37,5.24,Rice,3.336
Loamy,4.23,2928,Flood,52.98,Summer,868.91,28.52,7.73,Rice,3.953
Peaty,19.35,3993,Drip,42.25,Summer,1208.35,26.38,7.78,Tomato,6.353
Clay,1.28,1616,Flood,107.43,Zaid,1151.97,22.02,5.8,Maize,3.549
Silty,10.14,2941,Rainfed,48.7,Kharif,539.6,26.52,8.83,Maize,3.2
Clay,7.33,1854,Drip,123.86,Zaid,1307.02,36.07,8.15,Potato,6.247
Clay,9.53,2980,Drip,136.23,Summer,337.36,26.08,7.75,Rice,3.554
Loamy,11.84,3501,Rainfed,114.61,Rabi,348.26,27.72,8.02,Wheat,3.514
Clay,9.28,1686,Flood,26.56,Rabi,1304.1,34.54,6.65,Tomato,5.794
Peaty,8.88,4587,Sprinkler,30.39,Summer,517.75,39.46,6.82,Maize,2.39
Clay,14.92,3331,Rainfed,40.4,Kharif,1120.55,28.44,8.48,Tomato,6.367
